C concentration (weight%),Si concentration (weight%),Mn concentration (weight%),S concentration (weight%),P concentration (weight%),V concentration (weight%),O concentration (ppm/weight),Ti concentration (ppm/weight),N concentration (ppm/weight),Al concentration (ppm/weight),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),AC,electrode positive,Type of weld_GMAA,Type of weld_GTAA,Type of weld_MMA,Type of weld_NGGMA,Type of weld_NGSAW,Type of weld_SA,Type of weld_SAA,Type of weld_ShMA,Type of weld_TSA
-1.6118081939019677,0.012551720996227842,-0.5204661024546042,-0.31870662543294803,-0.11010119616063897,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,-0.5008778764573796,-0.8380133358748927,0.6975472482482049,0.689856725887565,,,False,True,False,False,True,False,False,False,False,False,False
-1.6118081939019677,0.012551720996227842,-0.5204661024546042,-0.31870662543294803,-0.11010119616063897,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,-0.9111283188774529,-1.0185544709580252,1.1056580324426895,0.9021140977021264,,,False,True,False,False,True,False,False,False,False,False,False
-1.1547681241893863,-0.07226660610530103,0.5126260668879724,-0.23452976690531024,0.03419559099036082,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,-0.015054984117818995,-0.31895757251088663,0.4934918561509625,0.589313760291195,,,False,True,False,False,True,False,False,False,False,False,False
-1.1547681241893863,-0.07226660610530103,0.5126260668879724,-0.23452976690531024,0.03419559099036082,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,-0.652022776296354,-0.6800398426771517,0.41186969931206513,0.8015711321057548,,,False,True,False,False,True,False,False,False,False,False,False
-1.2461761381319023,0.012551720996227842,1.7046554930524846,-0.31870662543294803,0.03419559099036082,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,0.3951954583022544,0.2452334746239026,-0.03705216330186787,0.36588494785481523,,,False,True,False,False,True,False,False,False,False,False,False
-1.2461761381319023,0.012551720996227842,1.7046554930524846,-0.31870662543294803,0.03419559099036082,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,0.16847810854379278,0.17753054896772788,0.12619215037592615,0.1424561354184354,,,False,True,False,False,True,False,False,False,False,False,False
-1.7489202148157423,-0.1570849332068299,-1.5270687289935254,-0.23452976690531024,-0.06200226711030569,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,-0.9435165117000903,-1.1201088594422872,0.9016026403454472,0.8015711321057548,,,False,True,False,False,True,False,False,False,False,False,False
-1.7489202148157423,-0.1570849332068299,-1.5270687289935254,-0.23452976690531024,-0.06200226711030569,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,-1.0730692829906399,-1.1652441432130705,1.5137688166371743,0.9021140977021264,-0.1511084647134803,0.33614176652163724,False,True,False,False,True,False,False,False,False,False,False
-1.5204001799594515,0.012551720996227842,-0.5469556452582601,-0.31870662543294803,-0.013903338059972474,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,-0.3821211694410425,-0.6236207379636728,0.6975472482482049,0.7010281665093849,,,False,True,False,False,True,False,False,False,False,False,False
-1.5204001799594515,0.012551720996227842,-0.5469556452582601,-0.31870662543294803,-0.013903338059972474,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,-0.7275952262158412,-0.8492971568175884,1.1464691108621379,0.689856725887565,-0.4558647137130026,0.33614176652163724,False,True,False,False,True,False,False,False,False,False,False
-1.2461761381319023,0.1821883751992851,0.4331574384770055,-0.23452976690531024,-0.013903338059972474,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,-0.13381169113415603,-0.3076737515681908,0.4526807777315135,0.8015711321057548,,,False,True,False,False,True,False,False,False,False,False,False
